courseURI,courseName,resourceURI,ResourceName,topicName,dbpURI
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,NATURAL LANGUAGE,http://dbpedia.org/resource/Natural_language_processing
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,K-MEANS,http://dbpedia.org/resource/K-means_clustering
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,PYTHON,http://dbpedia.org/resource/Monty_Python
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,K-MEANS CLUSTERING,http://dbpedia.org/resource/K-means_clustering
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,OPEN SOURCE ENTERPRISE,http://dbpedia.org/resource/Open_Source_Enterprise
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,VARIANCE,http://dbpedia.org/resource/Variance
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,RESTFUL,http://dbpedia.org/resource/Representational_state_transfer
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,MATPLOTLIB,http://dbpedia.org/resource/Matplotlib
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,ARORA,http://dbpedia.org/resource/Arora
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,FEATURE VECTOR,http://dbpedia.org/resource/Feature_(machine_learning)
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,APACHE LICENSE 2.0,http://dbpedia.org/resource/Apache_License
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,DATA VISUALIZATION,http://dbpedia.org/resource/Data_and_information_visualization
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,INTERNACIONAL,http://dbpedia.org/resource/Sport_Club_Internacional
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,PREDICTIVE MODELING,http://dbpedia.org/resource/Predictive_modelling
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,PATTERN RECOGNITION,http://dbpedia.org/resource/Pattern_recognition
file:///Users/jatin/workspace/roboprof/data#3316442633,COMP 6741,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,lab05,NATURAL LANGUAGE PROCESSING,http://dbpedia.org/resource/Natural_language_processing
